ID,Name,Email,Bonus,Report,App,LT,TD
1331210014,Nguyen Van Bao,nvbao@outlook.com,0,0,0,4.5,2
1331210021,Ngo Van Anh,nvanh@gmail.com,0,0,3,5.5,2.5
1331210018,Doan Van Bo,dvbo@gmail.com,2,2,10,5.6,3.5
1331210024,Pham Van Luc,pvluc@gmail.com,0,1,6,8,3.6
1331210020,Pham Van An,pvan@gmail.com,1,7,6,4.5,4
1331210023,Ngo Tung An,ntan@gmail.com,0,6,5,8,4.6
1331210017,Le Thi Ngoc Han,ltnhan@outlook.com,0,5,5,9,5.1
1331210015,Nguyen Ngoc Chau,nnchau@gmail.com,2,8,8,5.5,5.5
1331210019,Nguyen Minh Nhut,nmnhut@outlook.com,3,9,9,7,6.2
1331210026,Nguyen Thi Thoa,ntthoa@gmail.com,1,9,7,7.5,6.4
1331210027,Tong Chi VI,tcvihi VI@gmail.com,1,4,7,10,6.5
1331210016,Luong Hong Nhat,lhnhat@gmail.com,1,7,9,8,6.6
1331210028,Nguyen Thanh An,ntan@outlook.com,0,8,9,8.5,6.8
1331210022,Ly Chi Minh,lcminh@outlook.com,1,8,10,9,7.1
1331210025,Ho Van Minh,hvminh@outlook.com,0,8,9,9,7.1
